LocationName,Polygon,Polygon_coords,total_messages,total_devices,latency_messages,latency_devices,latency_messages_ratio,latency_device_ratio,device_ids,latency_device_ids,severity
ITVCE-TIV,"45.458800,12.253011,45.457026,12.257516,45.455016,12.257516,45.454116,12.256331,45.456638,12.250008,45.456236,12.249574,45.457012,12.249396,45.457608,12.249910,45.458634,12.247499,45.459493,12.248210,45.457955,12.252438,45.458800,12.253011","[[45.4588, 12.253011], [45.457026, 12.257516], [45.455016, 12.257516], [45.454116, 12.256331], [45.456638, 12.250008], [45.456236, 12.249574], [45.457012, 12.249396], [45.457608, 12.24991], [45.458634, 12.247499], [45.459493, 12.24821], [45.457955, 12.252438], [45.4588, 12.253011]]",258,10,2,1,0.8,10.0,"['A0001369', 'A0001517', 'A0002387', 'A0002709', 'A0002889', 'A0003512', 'A0004957', 'A0005346', 'A0006645', 'A0006759']",['A0006759'],2.7
JMKST-TKI,"17.987577,-76.831577,17.989711,-76.828480,17.990727,-76.828653,17.991228,-76.830456,17.989867,-76.831722,17.992777,-76.835424,17.993661,-76.838513,17.987184,-76.839849,17.977286,-76.841604,17.979943,-76.838352,17.973559,-76.830494,17.976812,-76.827981,17.984057,-76.837249,17.989367,-76.836291,17.986699,-76.832710,17.987577,-76.831577","[[17.987577, -76.831577], [17.989711, -76.82848], [17.990727, -76.828653], [17.991228, -76.830456], [17.989867, -76.831722], [17.992777, -76.835424], [17.993661, -76.838513], [17.987184, -76.839849], [17.977286, -76.841604], [17.979943, -76.838352], [17.973559, -76.830494], [17.976812, -76.827981], [17.984057, -76.837249], [17.989367, -76.836291], [17.986699, -76.83271], [17.987577, -76.831577]]",6842,199,1468,103,21.5,51.8,"['A0000029', 'A0000047', 'A0000312', 'A0000325', 'A0000376', 'A0000482', 'A0000486', 'A0000608', 'A0000628', 'A0000653', 'A0000691', 'A0000700', 'A0000875', 'A0000934', 'A0000936', 'A0000938', 'A0000989', 'A0001021', 'A0001037', 'A0001053', 'A0001110', 'A0001122', 'A0001131', 'A0001139', 'A0001330', 'A0001339', 'A0001343', 'A0001346', 'A0001401', 'A0001499', 'A0001555', 'A0001591', 'A0001627', 'A0001691', 'A0001722', 'A0001755', 'A0001783', 'A0001791', 'A0001800', 'A0001836', 'A0001896', 'A0001974', 'A0002021', 'A0002084', 'A0002107', 'A0002182', 'A0002218', 'A0002299', 'A0002310', 'A0002321', 'A0002351', 'A0002391', 'A0002394', 'A0002396', 'A0002408', 'A0002515', 'A0002521', 'A0002622', 'A0002623', 'A0002652', 'A0002669', 'A0002688', 'A0002690', 'A0002691', 'A0002743', 'A0002797', 'A0002829', 'A0002845', 'A0002871', 'A0002883', 'A0002885', 'A0002904', 'A0002912', 'A0002917', 'A0002948', 'A0002955', 'A0002973', 'A0003027', 'A0003036', 'A0003145', 'A0003189', 'A0003207', 'A0003208', 'A0003220', 'A0003238', 'A0003246', 'A0003271', 'A0003308', 'A0003310', 'A0003340', 'A0003345', 'A0003398', 'A0003437', 'A0003503', 'A0003515', 'A0003519', 'A0003531', 'A0003544', 'A0003586', 'A0003614', 'A0003615', 'A0003683', 'A0003696', 'A0003721', 'A0003728', 'A0003774', 'A0003791', 'A0003837', 'A0003862', 'A0003873', 'A0003887', 'A0003901', 'A0003917', 'A0003928', 'A0003939', 'A0003940', 'A0003985', 'A0004008', 'A0004029', 'A0004046', 'A0004107', 'A0004126', 'A0004151', 'A0004211', 'A0004235', 'A0004257', 'A0004264', 'A0004294', 'A0004322', 'A0004371', 'A0004387', 'A0004419', 'A0004430', 'A0004438', 'A0004456', 'A0004500', 'A0004534', 'A0004543', 'A0004621', 'A0004635', 'A0004637', 'A0004680', 'A0004746', 'A0004778', 'A0004821', 'A0004829', 'A0004838', 'A0004845', 'A0004847', 'A0004875', 'A0004922', 'A0004932', 'A0004945', 'A0004992', 'A0005002', 'A0005030', 'A0005041', 'A0005054', 'A0005127', 'A0005151', 'A0005155', 'A0005157', 'A0005169', 'A0005206', 'A0005220', 'A0005227', 'A0005268', 'A0005287', 'A0005289', 'A0005300', 'A0005332', 'A0005334', 'A0005365', 'A0005409', 'A0005419', 'A0005467', 'A0005474', 'A0005493', 'A0005514', 'A0005525', 'A0005537', 'A0005569', 'A0005590', 'A0005591', 'A0005621', 'A0005635', 'A0005649', 'A0005667', 'A0005681', 'A0005697', 'A0005704', 'A0005726', 'A0005735', 'A0006039', 'A0006112', 'A0006127', 'A0006162', 'A0006191', 'A0006380']","['A0000608', 'A0000628', 'A0000653', 'A0000875', 'A0000938', 'A0001021', 'A0001037', 'A0001053', 'A0001122', 'A0001131', 'A0001139', 'A0001343', 'A0001346', 'A0001401', 'A0001499', 'A0001555', 'A0001722', 'A0001755', 'A0001783', 'A0001800', 'A0001836', 'A0001896', 'A0001974', 'A0002021', 'A0002107', 'A0002182', 'A0002394', 'A0002396', 'A0002408', 'A0002623', 'A0002652', 'A0002690', 'A0002691', 'A0002845', 'A0002871', 'A0002885', 'A0002904', 'A0002912', 'A0002948', 'A0002973', 'A0003027', 'A0003207', 'A0003246', 'A0003308', 'A0003345', 'A0003398', 'A0003503', 'A0003515', 'A0003531', 'A0003586', 'A0003614', 'A0003696', 'A0003774', 'A0003791', 'A0003887', 'A0003928', 'A0003939', 'A0003940', 'A0004008', 'A0004029', 'A0004046', 'A0004126', 'A0004151', 'A0004211', 'A0004264', 'A0004322', 'A0004387', 'A0004430', 'A0004438', 'A0004500', 'A0004543', 'A0004637', 'A0004680', 'A0004778', 'A0004829', 'A0004845', 'A0004847', 'A0004922', 'A0004932', 'A0004945', 'A0004992', 'A0005002', 'A0005030', 'A0005127', 'A0005151', 'A0005155', 'A0005169', 'A0005206', 'A0005220', 'A0005268', 'A0005289', 'A0005334', 'A0005467', 'A0005474', 'A0005590', 'A0005621', 'A0005704', 'A0005726', 'A0005735', 'A0006127', 'A0006162', 'A0006191', 'A0006380']",33.0
JMKST-TKW,"17.987661,-76.831219,17.986554,-76.832355,17.977848,-76.822193,17.979177,-76.820906,17.986144,-76.829272,17.988098,-76.827505,17.988645,-76.828074,17.987661,-76.831219","[[17.987661, -76.831219], [17.986554, -76.832355], [17.977848, -76.822193], [17.979177, -76.820906], [17.986144, -76.829272], [17.988098, -76.827505], [17.988645, -76.828074], [17.987661, -76.831219]]",53,5,4,2,7.5,40.0,"['A0000938', 'A0001343', 'A0001800', 'A0002408', 'A0005289']","['A0001800', 'A0002408']",8.4
JMKST-WJC,"17.993383,-76.835171,17.993679,-76.833357,17.993104,-76.831074,17.991020,-76.828874,17.991579,-76.830486,17.990181,-76.831703,17.993080,-76.835205,17.993383,-76.835171","[[17.993383, -76.835171], [17.993679, -76.833357], [17.993104, -76.831074], [17.99102, -76.828874], [17.991579, -76.830486], [17.990181, -76.831703], [17.99308, -76.835205], [17.993383, -76.835171]]",256,7,52,4,20.3,57.1,"['A0002283', 'A0002394', 'A0002521', 'A0003246', 'A0003544', 'A0005289', 'A0005300']","['A0002283', 'A0002394', 'A0003246', 'A0005300']",18.5
JMMNB-TFP,"18.463655,-77.935598,18.464697,-77.934467,18.464611,-77.934238,18.463663,-77.934762,18.463251,-77.934074,18.461828,-77.934033,18.461774,-77.934410,18.457879,-77.934460,18.457595,-77.935910,18.457721,-77.937023,18.458848,-77.936941,18.459423,-77.935794,18.460817,-77.936763,18.463655,-77.935598","[[18.463655, -77.935598], [18.464697, -77.934467], [18.464611, -77.934238], [18.463663, -77.934762], [18.463251, -77.934074], [18.461828, -77.934033], [18.461774, -77.93441], [18.457879, -77.93446], [18.457595, -77.93591], [18.457721, -77.937023], [18.458848, -77.936941], [18.459423, -77.935794], [18.460817, -77.936763], [18.463655, -77.935598]]",42,1,0,0,0.0,0.0,['A0001800'],,0.0
JOQMN-DMN,"31.910561,35.998986,31.910864,36.000170,31.910419,36.000566,31.909427,36.000121,31.909462,35.999062,31.910561,35.998986","[[31.910561, 35.998986], [31.910864, 36.00017], [31.910419, 36.000566], [31.909427, 36.000121], [31.909462, 35.999062], [31.910561, 35.998986]]",7,1,0,0,0.0,0.0,['A0004190'],,0.0
JPHAK-THH,"33.652181,130.405091,33.654491,130.410716,33.651596,130.412726,33.649481,130.407867,33.649932,130.406349,33.652181,130.405091","[[33.652181, 130.405091], [33.654491, 130.410716], [33.651596, 130.412726], [33.649481, 130.407867], [33.649932, 130.406349], [33.652181, 130.405091]]",31,1,0,0,0.0,0.0,['A0005422'],,0.0
JPHAK-TKS,"33.654532,130.410839,33.655662,130.413565,33.652715,130.415021,33.651729,130.412751,33.654532,130.410839","[[33.654532, 130.410839], [33.655662, 130.413565], [33.652715, 130.415021], [33.651729, 130.412751], [33.654532, 130.410839]]",0,0,0,0,0.0,0.0,,,-0.0
JPKBE-TPC,"34.657972,135.227970,34.661223,135.238950,34.650819,135.244835,34.650638,135.232186,34.657972,135.227970","[[34.657972, 135.22797], [34.661223, 135.23895], [34.650819, 135.244835], [34.650638, 135.232186], [34.657972, 135.22797]]",0,0,0,0,0.0,0.0,,,-0.0
JPNGO-TNA,"35.027705,136.788146,35.021816,136.796607,35.017572,136.794981,35.018466,136.793228,35.017141,136.791728,35.023030,136.783140,35.027705,136.788146","[[35.027705, 136.788146], [35.021816, 136.796607], [35.017572, 136.794981], [35.018466, 136.793228], [35.017141, 136.791728], [35.02303, 136.78314], [35.027705, 136.788146]]",135,2,0,0,0.0,0.0,"['A0003517', 'A0004301']",,0.0
JPOSA-TNA,"34.626956,135.437521,34.640933,135.434079,34.641760,135.440797,34.628374,135.442338,34.626956,135.437521","[[34.626956, 135.437521], [34.640933, 135.434079], [34.64176, 135.440797], [34.628374, 135.442338], [34.626956, 135.437521]]",0,0,0,0,0.0,0.0,,,-0.0
TRAGA-DMR,"38.436908,27.282587,38.438542,27.288871,38.437527,27.289625,38.437037,27.288812,38.435698,27.288658,38.435661,27.287185,38.434996,27.287079,38.434978,27.286572,38.434202,27.286890,38.432613,27.283093,38.433703,27.282987,38.433241,27.280523,38.435827,27.280464,38.436908,27.282587","[[38.436908, 27.282587], [38.438542, 27.288871], [38.437527, 27.289625], [38.437037, 27.288812], [38.435698, 27.288658], [38.435661, 27.287185], [38.434996, 27.287079], [38.434978, 27.286572], [38.434202, 27.28689], [38.432613, 27.283093], [38.433703, 27.282987], [38.433241, 27.280523], [38.435827, 27.280464], [38.436908, 27.282587]]",942,9,95,3,10.1,33.3,"['A0000723', 'A0001079', 'A0001986', 'A0002174', 'A0002888', 'A0003152', 'A0003782', 'A0004517', 'A0005104']","['A0001986', 'A0002174', 'A0002888']",12.5
TRAGA-TNM,"38.768076,26.949249,38.766763,26.948991,38.764698,26.939387,38.764633,26.935466,38.768329,26.935407,38.768904,26.940881,38.768076,26.949249","[[38.768076, 26.949249], [38.766763, 26.948991], [38.764698, 26.939387], [38.764633, 26.935466], [38.768329, 26.935407], [38.768904, 26.940881], [38.768076, 26.949249]]",905,21,52,3,5.7,14.3,"['A0000723', 'A0000955', 'A0001079', 'A0001443', 'A0001570', 'A0001981', 'A0001986', 'A0002088', 'A0002174', 'A0003152', 'A0003782', 'A0004292', 'A0004417', 'A0004509', 'A0004559', 'A0004593', 'A0004726', 'A0004800', 'A0004928', 'A0005104', 'A0005248']","['A0001986', 'A0002088', 'A0004417']",6.3
TRATT-TAT,"36.838383,30.608502,36.842019,30.611958,36.840512,30.614589,36.835899,30.610697,36.838383,30.608502","[[36.838383, 30.608502], [36.842019, 30.611958], [36.840512, 30.614589], [36.835899, 30.610697], [36.838383, 30.608502]]",0,0,0,0,0.0,0.0,,,-0.0
TRDRC-DBM,"40.753522,29.775616,40.753646,29.776805,40.751529,29.779738,40.750945,29.779409,40.752612,29.776602,40.752880,29.776628,40.752775,29.775755,40.753522,29.775616","[[40.753522, 29.775616], [40.753646, 29.776805], [40.751529, 29.779738], [40.750945, 29.779409], [40.752612, 29.776602], [40.75288, 29.776628], [40.752775, 29.775755], [40.753522, 29.775616]]",0,0,0,0,0.0,0.0,,,-0.0
TRDRC-TDT,"40.753141,29.838672,40.753348,29.843157,40.748268,29.843178,40.747760,29.837897,40.750554,29.837373,40.752379,29.838861,40.752117,29.837257,40.750894,29.836153,40.747342,29.830938,40.746847,29.826435,40.749440,29.825998,40.751683,29.832188,40.754984,29.838486,40.753141,29.838672","[[40.753141, 29.838672], [40.753348, 29.843157], [40.748268, 29.843178], [40.74776, 29.837897], [40.750554, 29.837373], [40.752379, 29.838861], [40.752117, 29.837257], [40.750894, 29.836153], [40.747342, 29.830938], [40.746847, 29.826435], [40.74944, 29.825998], [40.751683, 29.832188], [40.754984, 29.838486], [40.753141, 29.838672]]",1920,62,10,5,0.5,8.1,"['A0000037', 'A0000910', 'A0001196', 'A0001481', 'A0001484', 'A0001547', 'A0001557', 'A0001623', 'A0001718', 'A0001719', 'A0001750', 'A0001851', 'A0001855', 'A0001940', 'A0001943', 'A0001970', 'A0001980', 'A0002003', 'A0002101', 'A0002114', 'A0002537', 'A0002625', 'A0002709', 'A0002795', 'A0002806', 'A0002899', 'A0002944', 'A0002982', 'A0003211', 'A0003225', 'A0003243', 'A0003289', 'A0003417', 'A0003524', 'A0003664', 'A0003714', 'A0003816', 'A0003857', 'A0003885', 'A0003998', 'A0004267', 'A0004268', 'A0004271', 'A0004380', 'A0004432', 'A0004445', 'A0004454', 'A0004657', 'A0004662', 'A0004676', 'A0004887', 'A0005074', 'A0005340', 'A0005533', 'A0005670', 'A0005759', 'A0006027', 'A0006281', 'A0006403', 'A0006579', 'A0006629', 'A0006641']","['A0001718', 'A0002795', 'A0003714', 'A0004657', 'A0006629']",3.2
TRGMK-DBR,"40.412726,29.100054,40.412667,29.101670,40.412307,29.102269,40.408882,29.101167,40.408705,29.100490,40.412726,29.100054","[[40.412726, 29.100054], [40.412667, 29.10167], [40.412307, 29.102269], [40.408882, 29.101167], [40.408705, 29.10049], [40.412726, 29.100054]]",2656,18,55,2,2.1,11.1,"['A0000040', 'A0000077', 'A0000996', 'A0001193', 'A0001362', 'A0001373', 'A0001595', 'A0002179', 'A0002701', 'A0002916', 'A0002997', 'A0003630', 'A0004206', 'A0004407', 'A0004902', 'A0005170', 'A0005271', 'A0005600']","['A0000996', 'A0001373']",4.5
TRGMK-TBO,"40.417589,29.080023,40.416017,29.082641,40.414473,29.081294,40.412157,29.085429,40.414003,29.087820,40.411687,29.090653,40.412188,29.093195,40.413488,29.093202,40.414423,29.091419,40.415102,29.087307,40.414400,29.086244,40.417887,29.080281,40.417589,29.080023","[[40.417589, 29.080023], [40.416017, 29.082641], [40.414473, 29.081294], [40.412157, 29.085429], [40.414003, 29.08782], [40.411687, 29.090653], [40.412188, 29.093195], [40.413488, 29.093202], [40.414423, 29.091419], [40.415102, 29.087307], [40.4144, 29.086244], [40.417887, 29.080281], [40.417589, 29.080023]]",390,14,0,0,0.0,0.0,"['A0001362', 'A0001576', 'A0001595', 'A0001702', 'A0002658', 'A0002701', 'A0002916', 'A0002997', 'A0003350', 'A0003524', 'A0003534', 'A0003712', 'A0004123', 'A0005170']",,0.0
TRGMK-TRD,"40.409792,29.086917,40.408600,29.084656,40.410379,29.081012,40.411891,29.082261,40.413756,29.078311,40.413782,29.075740,40.414198,29.075813,40.414343,29.078740,40.412269,29.082626,40.412859,29.083103,40.411616,29.085136,40.409792,29.086917","[[40.409792, 29.086917], [40.4086, 29.084656], [40.410379, 29.081012], [40.411891, 29.082261], [40.413756, 29.078311], [40.413782, 29.07574], [40.414198, 29.075813], [40.414343, 29.07874], [40.412269, 29.082626], [40.412859, 29.083103], [40.411616, 29.085136], [40.409792, 29.086917]]",0,0,0,0,0.0,0.0,,,-0.0
TRIZT-TEV,"40.774537,29.706684,40.777001,29.705860,40.777340,29.712239,40.776172,29.719052,40.774747,29.717903,40.775178,29.714237,40.774026,29.713214,40.775005,29.711587,40.774599,29.709939,40.774349,29.706396,40.774537,29.706684","[[40.774537, 29.706684], [40.777001, 29.70586], [40.77734, 29.712239], [40.776172, 29.719052], [40.774747, 29.717903], [40.775178, 29.714237], [40.774026, 29.713214], [40.775005, 29.711587], [40.774599, 29.709939], [40.774349, 29.706396], [40.774537, 29.706684]]",55,2,0,0,0.0,0.0,"['A0001697', 'A0001851']",,0.0
TRIZT-TLI,"40.720887,29.876907,40.719327,29.870692,40.718506,29.871080,40.719286,29.875988,40.720303,29.875562,40.720791,29.877212,40.720887,29.876907","[[40.720887, 29.876907], [40.719327, 29.870692], [40.718506, 29.87108], [40.719286, 29.875988], [40.720303, 29.875562], [40.720791, 29.877212], [40.720887, 29.876907]]",0,0,0,0,0.0,0.0,,,-0.0
TRKPX-DMA,"40.973035,28.674573,40.973590,28.676687,40.973309,28.678148,40.972158,28.678892,40.971864,28.677422,40.972063,28.677359,40.971430,28.675270,40.973035,28.674573","[[40.973035, 28.674573], [40.97359, 28.676687], [40.973309, 28.678148], [40.972158, 28.678892], [40.971864, 28.677422], [40.972063, 28.677359], [40.97143, 28.67527], [40.973035, 28.674573]]",0,0,0,0,0.0,0.0,,,-0.0
TRKPX-DMA2,"40.974067,28.668231,40.974054,28.670664,40.969391,28.670825,40.969383,28.670218,40.966416,28.670302,40.964582,28.668016,40.965163,28.666925,40.972335,28.666854,40.972956,28.668267,40.974067,28.668231","[[40.974067, 28.668231], [40.974054, 28.670664], [40.969391, 28.670825], [40.969383, 28.670218], [40.966416, 28.670302], [40.964582, 28.668016], [40.965163, 28.666925], [40.972335, 28.666854], [40.972956, 28.668267], [40.974067, 28.668231]]",975,18,0,0,0.0,0.0,"['A0000364', 'A0000390', 'A0000910', 'A0000961', 'A0001222', 'A0001544', 'A0001796', 'A0001970', 'A0002585', 'A0002590', 'A0003102', 'A0003816', 'A0004155', 'A0004747', 'A0004794', 'A0004879', 'A0005759', 'A0006119']",,0.0
TRKPX-TAR,"40.966324,28.670881,40.968830,28.674527,40.961384,28.674684,40.961155,28.672195,40.963922,28.671953,40.964314,28.669464,40.966324,28.670881","[[40.966324, 28.670881], [40.96883, 28.674527], [40.961384, 28.674684], [40.961155, 28.672195], [40.963922, 28.671953], [40.964314, 28.669464], [40.966324, 28.670881]]",15,5,0,0,0.0,0.0,"['A0000910', 'A0001970', 'A0002944', 'A0004196', 'A0004483']",,0.0
TRKPX-TMA,"40.969947,28.674568,40.970020,28.672185,40.974090,28.671843,40.974195,28.672544,40.973284,28.673476,40.973316,28.674308,40.971434,28.675082,40.968827,28.674795,40.968571,28.677755,40.965977,28.678103,40.966035,28.676115,40.964738,28.676269,40.964723,28.674783,40.969947,28.674568","[[40.969947, 28.674568], [40.97002, 28.672185], [40.97409, 28.671843], [40.974195, 28.672544], [40.973284, 28.673476], [40.973316, 28.674308], [40.971434, 28.675082], [40.968827, 28.674795], [40.968571, 28.677755], [40.965977, 28.678103], [40.966035, 28.676115], [40.964738, 28.676269], [40.964723, 28.674783], [40.969947, 28.674568]]",930,29,14,2,1.5,6.9,"['A0000364', 'A0000390', 'A0000543', 'A0000616', 'A0000910', 'A0000961', 'A0000988', 'A0001222', 'A0001544', 'A0001796', 'A0001822', 'A0001970', 'A0002390', 'A0002585', 'A0003428', 'A0003734', 'A0003800', 'A0003816', 'A0004155', 'A0004483', 'A0004744', 'A0004794', 'A0004879', 'A0005322', 'A0005347', 'A0005759', 'A0006019', 'A0006119', 'A0006553']","['A0000364', 'A0003734']",2.7
TRMER-DAK,"38.766118,35.351012,38.768707,35.360454,38.768498,35.363328,38.766550,35.363453,38.766842,35.359830,38.765973,35.351262,38.766118,35.351012","[[38.766118, 35.351012], [38.768707, 35.360454], [38.768498, 35.363328], [38.76655, 35.363453], [38.766842, 35.35983], [38.765973, 35.351262], [38.766118, 35.351012]]",87,2,0,0,0.0,0.0,"['A0005602', 'A0006403']",,0.0
TRMER-DGM,"36.832716,34.679166,36.832396,34.679555,36.831192,34.678030,36.828370,34.673552,36.831036,34.672437,36.831963,34.677662,36.832716,34.679166","[[36.832716, 34.679166], [36.832396, 34.679555], [36.831192, 34.67803], [36.82837, 34.673552], [36.831036, 34.672437], [36.831963, 34.677662], [36.832716, 34.679166]]",0,0,0,0,0.0,0.0,,,-0.0
TRMER-DIA,"36.823666,34.684811,36.823626,34.683519,36.821972,34.683176,36.822285,34.685172,36.823666,34.684811","[[36.823666, 34.684811], [36.823626, 34.683519], [36.821972, 34.683176], [36.822285, 34.685172], [36.823666, 34.684811]]",23,2,0,0,0.0,0.0,"['A0001467', 'A0004167']",,0.0
TRMER-DKR,"36.842723,34.666989,36.843112,34.668692,36.841093,34.669421,36.841017,34.668989,36.837698,34.669432,36.838752,34.666635,36.840107,34.666271,36.840301,34.667720,36.840828,34.667568,36.840893,34.668206,36.841805,34.667831,36.841683,34.667294,36.842723,34.666989","[[36.842723, 34.666989], [36.843112, 34.668692], [36.841093, 34.669421], [36.841017, 34.668989], [36.837698, 34.669432], [36.838752, 34.666635], [36.840107, 34.666271], [36.840301, 34.66772], [36.840828, 34.667568], [36.840893, 34.668206], [36.841805, 34.667831], [36.841683, 34.667294], [36.842723, 34.666989]]",4,2,0,0,0.0,0.0,"['A0001001', 'A0005233']",,0.0
TRMER-DOL,"36.821919,34.683264,36.820924,34.683086,36.819194,34.683486,36.819206,34.684759,36.818471,34.684995,36.818898,34.682642,36.822595,34.677387,36.823018,34.679904,36.821919,34.683264","[[36.821919, 34.683264], [36.820924, 34.683086], [36.819194, 34.683486], [36.819206, 34.684759], [36.818471, 34.684995], [36.818898, 34.682642], [36.822595, 34.677387], [36.823018, 34.679904], [36.821919, 34.683264]]",1756,25,15,3,0.9,12.0,"['A0000031', 'A0000407', 'A0001001', 'A0001205', 'A0001225', 'A0001677', 'A0001894', 'A0002313', 'A0002315', 'A0002525', 'A0002534', 'A0003041', 'A0003132', 'A0003355', 'A0003690', 'A0003723', 'A0003998', 'A0004268', 'A0004346', 'A0004532', 'A0004765', 'A0005231', 'A0005306', 'A0005597', 'A0005602']","['A0001677', 'A0002315', 'A0003690']",4.4
TRMER-DRK,"38.013221,32.589823,38.012307,32.594552,38.004082,32.592678,37.995961,32.587815,37.998809,32.582774,38.013221,32.589823","[[38.013221, 32.589823], [38.012307, 32.594552], [38.004082, 32.592678], [37.995961, 32.587815], [37.998809, 32.582774], [38.013221, 32.589823]]",13,1,0,0,0.0,0.0,['A0005439'],,0.0
TRMER-TME,"36.813704,34.657323,36.803987,34.638018,36.793842,34.637232,36.806018,34.663290,36.813704,34.657323","[[36.813704, 34.657323], [36.803987, 34.638018], [36.793842, 34.637232], [36.806018, 34.66329], [36.813704, 34.657323]]",2156,94,153,25,7.1,26.6,"['A0000031', 'A0000037', 'A0000451', 'A0000616', 'A0000749', 'A0000775', 'A0001001', 'A0001200', 'A0001205', 'A0001208', 'A0001225', 'A0001356', 'A0001467', 'A0001622', 'A0001677', 'A0001697', 'A0001796', 'A0001807', 'A0001849', 'A0001894', 'A0002088', 'A0002101', 'A0002156', 'A0002219', 'A0002273', 'A0002313', 'A0002315', 'A0002347', 'A0002525', 'A0002534', 'A0002585', 'A0002795', 'A0002806', 'A0003041', 'A0003117', 'A0003131', 'A0003132', 'A0003140', 'A0003162', 'A0003355', 'A0003416', 'A0003417', 'A0003449', 'A0003476', 'A0003562', 'A0003619', 'A0003649', 'A0003664', 'A0003690', 'A0003714', 'A0003723', 'A0003800', 'A0003816', 'A0003857', 'A0003976', 'A0003998', 'A0004155', 'A0004167', 'A0004268', 'A0004346', 'A0004380', 'A0004454', 'A0004466', 'A0004529', 'A0004532', 'A0004662', 'A0004765', 'A0004795', 'A0004872', 'A0004897', 'A0005074', 'A0005140', 'A0005231', 'A0005233', 'A0005306', 'A0005318', 'A0005322', 'A0005347', 'A0005439', 'A0005496', 'A0005522', 'A0005574', 'A0005575', 'A0005597', 'A0005602', 'A0005637', 'A0005670', 'A0005694', 'A0006010', 'A0006056', 'A0006105', 'A0006266', 'A0006403', 'A0006579']","['A0000749', 'A0001001', 'A0001697', 'A0002585', 'A0002795', 'A0003117', 'A0003417', 'A0003476', 'A0003664', 'A0003816', 'A0003998', 'A0004155', 'A0004380', 'A0004466', 'A0004532', 'A0004662', 'A0005074', 'A0005306', 'A0005318', 'A0005347', 'A0005496', 'A0005522', 'A0005670', 'A0006105', 'A0006266']",13.1
TRTEK-TEK,"40.901680,27.466968,40.900460,27.469914,40.903191,27.471562,40.902767,27.472965,40.894442,27.468441,40.895503,27.464793,40.897120,27.464337,40.899533,27.466582,40.900726,27.466512,40.901680,27.466968","[[40.90168, 27.466968], [40.90046, 27.469914], [40.903191, 27.471562], [40.902767, 27.472965], [40.894442, 27.468441], [40.895503, 27.464793], [40.89712, 27.464337], [40.899533, 27.466582], [40.900726, 27.466512], [40.90168, 27.466968]]",0,0,0,0,0.0,0.0,,,-0.0
TRYAR-TDP,"40.763994,29.748254,40.761882,29.741890,40.758505,29.744988,40.762025,29.752969,40.765446,29.748178,40.765069,29.746973,40.763994,29.748254","[[40.763994, 29.748254], [40.761882, 29.74189], [40.758505, 29.744988], [40.762025, 29.752969], [40.765446, 29.748178], [40.765069, 29.746973], [40.763994, 29.748254]]",0,0,0,0,0.0,0.0,,,-0.0
TTPFS-TPS,"10.655584,-61.526881,10.657516,-61.525897,10.656612,-61.524246,10.656117,-61.524175,10.656115,-61.521254,10.655600,-61.520109,10.655333,-61.520132,10.654230,-61.518542,10.652917,-61.519354,10.651951,-61.519865,10.655584,-61.526881","[[10.655584, -61.526881], [10.657516, -61.525897], [10.656612, -61.524246], [10.656117, -61.524175], [10.656115, -61.521254], [10.6556, -61.520109], [10.655333, -61.520132], [10.65423, -61.518542], [10.652917, -61.519354], [10.651951, -61.519865], [10.655584, -61.526881]]",0,0,0,0,0.0,0.0,,,-0.0
TTPIL-TPL,"10.408586,-61.496366,10.410529,-61.495289,10.408670,-61.492387,10.411088,-61.488518,10.409700,-61.486359,10.405704,-61.493011,10.406123,-61.493228,10.405518,-61.494618,10.408586,-61.496366","[[10.408586, -61.496366], [10.410529, -61.495289], [10.40867, -61.492387], [10.411088, -61.488518], [10.4097, -61.486359], [10.405704, -61.493011], [10.406123, -61.493228], [10.405518, -61.494618], [10.408586, -61.496366]]",481,11,53,8,11.0,72.7,"['A0000013', 'A0000516', 'A0001495', 'A0001499', 'A0002398', 'A0003155', 'A0003346', 'A0003543', 'A0003614', 'A0004046', 'A0004687']","['A0000013', 'A0000516', 'A0001495', 'A0001499', 'A0002398', 'A0003155', 'A0003543', 'A0003614']",22.9
TWKLG-TCC,"25.078146,121.676208,25.074742,121.680207,25.074923,121.679257,25.074656,121.678250,25.074596,121.676530,25.075155,121.675068,25.076948,121.674554,25.078146,121.676208","[[25.078146, 121.676208], [25.074742, 121.680207], [25.074923, 121.679257], [25.074656, 121.67825], [25.074596, 121.67653], [25.075155, 121.675068], [25.076948, 121.674554], [25.078146, 121.676208]]",36,1,0,0,0.0,0.0,['A0003119'],,0.0
TWKLG-TCT,"25.145547,121.754415,25.152654,121.751925,25.149622,121.746162,25.143011,121.750643,25.145547,121.754415","[[25.145547, 121.754415], [25.152654, 121.751925], [25.149622, 121.746162], [25.143011, 121.750643], [25.145547, 121.754415]]",58,1,0,0,0.0,0.0,['A0003119'],,0.0
TWKSG-DLC,"22.560576,120.336631,22.559193,120.337668,22.560713,120.339696,22.561342,120.339391,22.561330,120.338977,22.561904,120.338769,22.560576,120.336631","[[22.560576, 120.336631], [22.559193, 120.337668], [22.560713, 120.339696], [22.561342, 120.339391], [22.56133, 120.338977], [22.561904, 120.338769], [22.560576, 120.336631]]",92,1,0,0,0.0,0.0,['A0004531'],,0.0
